Title,Authors,Published Date,Description,Page Count,Categories
The Book of Great Books,W. John Campbell,2000,"Provides a list of one hundred world classics, offering information on plot, characters, main themes, symbolism, and composition for each book.",0,American literature
"The Best of the World's Classics, Restricted to Prose",Henry Cabot Lodge,1909,No description available,298,American literature
Selected Works,Galen,1997,"Galen (AD 129-99), researcher and scholar, surgeon and philosopher, logician, herbalist and personal physician to the emperor Marcus Aurelius, was the most influential and multi-faceted medical author of antiquity. This is the first major selection in English of Galen's work, functioning as an essential introduction to his ""medical philosophy"" and including the first-ever translations of several major works. A detailed Introduction presents a vivid insight into medical practice as well as intellectual and everyday life in ancient Rome.",520,History
The Book of Marvels and Travels,Sir John Mandeville,2012-09-13,"In his Book of Marvels and Travels, Sir John Mandeville describes a journey from Europe to Jerusalem and on into Asia, and the many wonderful and monstrous peoples and practices in the East. A captivating blend of fact and fantasy, Mandeville's Book is newly translated in an edition that brings us closer to Mandeville's worldview.",225,Biography & Autobiography
PERSUASION,Jane Austen,2021-01-08,"Persuasion is a novel written by a famous British writer Jane Austen. It is a story about the life of Anne Elliot, a middle daughter of baronet Sir Walter, a spender and bluffer. Due to these features of his character, he found himself in a difficult financial position. He has to rent a family estate Kellynch Hall in order to pay his debts. Meanwhile, his most smart and considerate daughter Anne goes to Uppercross to look after a sick sister. In the days of her youth she was mutually in love with Frederick Wentworth, but because of a fear of a poor marriage, “reasons of conscience” and on the insistence of a “family friend” Lady Russel Anne stopped her relationship with him. But now after eight years, some incredible coincidence happens. The family that rents Kellynch Hall is related to Frederick Wentworth. Is the old-time love still alive in the hearts of Anne and Frederick?",250,Fiction
The Penguin Book of First World War Stories,"Ann-Marie Einhaus, Barbara Korte",2007-10-25,"An anthology of Great War short stories by British writers, both famous and lesser-known authors, men and women, during the war and after its end. These stories are able to illustrate the impact of the Great War on British society and culture and the many modes in which short fiction contributed to the war's literature. The selection covers different periods: the war years themselves, the famous boom years of the late 1920s to the more recent past in which the First World War has received new cultural interest.",534,Fiction
Global Classics,Jacques A. Bromberg,2021-04-11,"What makes Classics ""global"", and what does it mean to study the ancient world ""globally""? How can the study of antiquity contribute to our understanding of pressing global issues? Global Classics addresses these questions by pursuing a transdisciplinary dialogue between Classics and Global Studies. Authoritative and engaging, this book provides the first field-wide synthesis of the recent ""global turn"" in Classics as well as a comprehensive overview of an emerging field in ancient studies. Through focused readings of ancient sources and modern scholarship, the author introduces readers to three key paradigms that are essential to research and teaching in global antiquities: transborder, transhistorical, and transdisciplinary. Global Classics will appeal to educators, students, and scholars interested in the application of globalization theories and paradigms in ancient studies, in globalizing their teaching and research, and in approaches to contemporary global issues through the study of the remote past.",110,Business & Economics
The Best of the World's Classics,"Henry Cabot Lodge, Francis Whiting Halsey",1909,No description available,278,Literature
The Story of an African Farm,Olive Schreiner,1892,No description available,328,English Literature -- Fiction -- Schreiner
The Best of the World's Classics (Vol.1-10),Henry Cabot Lodge,2023-12-13,"In 'The Best of the World's Classics (Vol.1-10)', Henry Cabot Lodge compiles a comprehensive collection of classic literature from around the world, showcasing the richness and diversity of human experience through the ages. The book is meticulously curated with a focus on timeless works that have stood the test of time, offering readers a glimpse into different cultures, traditions, and storytelling styles. Lodge's writing is scholarly and insightful, providing readers with a deeper understanding of the literary context in which each piece was produced. The prose is elegant and engaging, making this collection a valuable resource for students and enthusiasts of world literature. Henry Cabot Lodge, a renowned American politician and scholar, was inspired to compile this collection as a way to preserve and celebrate the cultural heritage of various nations. With his keen literary sensibilities and profound knowledge of history, Lodge carefully selected the works that would best represent the literary treasures of different civilizations. I highly recommend 'The Best of the World's Classics (Vol.1-10)' to anyone interested in exploring the finest works of world literature. Lodge's meticulous curation and scholarly commentary make this collection a must-read for those seeking to broaden their literary horizons and deepen their appreciation for the global literary canon.",1927,Literary Collections
Selected Essays,Virginia Woolf,2009-10-15,"'A good essay must draw its curtain round us, but it must be a curtain that shuts us in, not out.' According to Virginia Woolf, the goal of the essay 'is simply that it should give pleasure...It should lay us under a spell with its first word, and we should only wake, refreshed, with its last.' One of the best practitioners of the art she analysed so rewardingly, Woolf displayed her essay-writing skills across a wide range of subjects, with all the craftsmanship, substance, and rich allure of her novels. This selection brings together thirty of her best essays, including the famous 'Mr Bennett and Mrs Brown', a clarion call for modern fiction. She discusses the arts of writing and of reading, and the particular role and reputation of women writers. She writes movingly about her father and the art of biography, and of the London scene in the early decades of the twentieth century. Overall, these pieces are as indispensable to an understanding of this great writer as they are enchanting in their own right. ABOUT THE SERIES: For over 100 years Oxford World's Classics has made available the widest range of literature from around the globe. Each affordable volume reflects Oxford's commitment to scholarship, providing the most accurate text plus a wealth of other valuable features, including expert introductions by leading authorities, helpful notes to clarify the text, up-to-date bibliographies for further study, and much more.",285,Fiction
Gothic Tales,Arthur Conan Doyle,2016,This collection brings together 33 of Arthur Conan Doyle's best Gothic Tales for the first time.,590,Fiction
"The Library, Books 16-20",Diodorus Siculus,2019-07-04,"Starting with the most meagre resources, Philip made his kingdom the greatest power in Europe The Greek historian Diodorus of Sicily is one of our most valuable sources from ancient times. His history, in forty volumes, was intended to range from mythological times to 60 BCE, and fifteen of The Library's forty books survive. This new translation by Robin Waterfield of books 16-20 covers a vital period in European history. Book 16 is devoted to Philip, and without it the career of this great king would be far more obscure to us. Book 17 is the earliest surviving account by over a hundred years of the world-changing eastern conquests of Alexander the Great, Philip's son. Books 18-20 constitute virtually our sole source of information on the twenty turbulent years following Alexander's death and on the violent path followed by Agathocles of Syracuse. There are fascinating snippets of history from elsewhere too - from Republican Rome, the Cimmerian Bosporus, and elsewhere. Despite his obvious importance, Diodorus is a neglected historian. This is the first English translation of any of these books in over fifty years. The introduction places Diodorus in his context in first-century-BCE Rome, describes and discusses the kind of history he was intending to write, and assesses his strengths and weaknesses as a historian. With extensive explanatory notes on this gripping and sensational period of history, the book serves as a unique resource for historians and students.",454,History
The Age of Innocence (World's Classics Series),Edith Wharton,2019-12-18,"The Age of Innocence centers on an upper-class couple's impending marriage, and the introduction of the bride's cousin, plagued by scandal, whose presence threatens their happiness. The novel is noted for attention to detail and its accurate portrayal of how the 19th-century East Coast American upper class lived, as well as for the social tragedy of its plot.",279,Fiction
